,p,% Fully Infected
0,0.02,0.0
1,0.03,0.1
2,0.039999999999999994,0.6
3,0.049999999999999996,4.8
4,0.06,12.6
5,0.06999999999999999,26.3
6,0.07999999999999999,41.2
7,0.09,56.8
8,0.09999999999999999,72.9
9,0.10999999999999999,84.4
10,0.11999999999999998,89.7
11,0.12999999999999998,95.7
12,0.13999999999999999,98.0
13,0.14999999999999997,99.1
14,0.15999999999999998,98.8
